,日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,持股数,每股成本,总成本,市值,场内收益,总涨幅,落盘收益,总收益,买进次数,卖出次数,总操作次数
14,20210128,'600745,闻泰科技,109.92,114.52,109.1,114.51,116.86,-6.94,-5.9387,900.0,104.39055555555555,93951.5,98928.0,4976.5,0.05296881901832328,4544.326388888889,9520.826388888889,2.0,3.0,5.0
15,20210129,'600745,闻泰科技,105.38,111.8,101.25,110.0,109.92,-4.54,-4.1303,1000.0,104.7205,104720.5,105380.0,659.5,0.006297716301965709,4544.326388888889,5203.826388888889,3.0,3.0,6.0
16,20210201,'600745,闻泰科技,99.0,101.83,96.0,96.0,105.38,-6.38,-6.0543,1000.0,104.7205,104720.5,99000.0,-5720.5,-0.05462636255556457,4544.326388888889,-1176.1736111111113,3.0,3.0,6.0
17,20210202,'600745,闻泰科技,96.6,98.98,94.75,98.95,99.0,-2.4,-2.4242,1100.0,104.08909090909091,114498.0,106260.0,-8238.0,-0.0719488550018341,4544.326388888889,-3693.6736111111113,4.0,3.0,7.0
18,20210203,'600745,闻泰科技,97.15,99.45,95.01,96.99,96.6,0.55,0.5694,1100.0,104.08909090909091,114498.0,106865.0,-7633.0,-0.06666491991126483,4544.326388888889,-3088.6736111111113,4.0,3.0,7.0
19,20210204,'600745,闻泰科技,102.37,104.63,93.0,95.6,97.15,5.22,5.3731,1100.0,104.08909090909091,114498.0,112607.0,-1891.0,-0.016515572324407413,4544.326388888889,2653.3263888888887,4.0,3.0,7.0
20,20210205,'600745,闻泰科技,100.32,103.52,100.26,100.89,102.37,-2.05,-2.0025,1000.0,104.4375,104437.5,100320.0,-4117.5,-0.03942549371633752,4161.076388888887,43.57638888888687,4.0,4.0,8.0
21,20210208,'600745,闻泰科技,110.35,110.35,103.0,104.89,100.32,10.03,9.998,1000.0,104.4375,104437.5,110350.0,5912.5,0.05661280670257331,4161.076388888887,10073.576388888887,4.0,4.0,8.0
22,20210209,'600745,闻泰科技,110.9,112.9,108.0,109.8,110.35,0.55,0.4984,900.0,103.78055555555555,93402.5,99810.0,6407.5,0.06860094751211156,4818.020833333332,11225.520833333332,4.0,5.0,9.0
23,20210210,'600745,闻泰科技,114.09,114.78,109.0,110.91,110.9,3.19,2.8765,900.0,103.78055555555555,93402.5,102681.0,9278.5,0.09933888279221648,4818.020833333332,14096.520833333332,4.0,5.0,9.0
24,20210218,'600745,闻泰科技,114.31,119.5,113.78,115.88,114.09,0.22,0.1928,900.0,103.78055555555555,93402.5,102879.0,9476.5,0.10145874039774096,4818.020833333332,14294.520833333332,4.0,5.0,9.0
25,20210219,'600745,闻泰科技,112.77,114.96,108.38,114.32,114.31,-1.54,-1.3472,900.0,103.78055555555555,93402.5,101493.0,8090.5,0.08661973715906962,4818.020833333332,12908.520833333332,4.0,5.0,9.0
26,20210222,'600745,闻泰科技,112.6,115.2,109.62,112.07,112.77,-0.17,-0.1507,900.0,103.78055555555555,93402.5,101340.0,7937.5,0.08498166537298252,4818.020833333332,12755.520833333332,4.0,5.0,9.0
27,20210223,'600745,闻泰科技,108.6,112.38,107.25,110.5,112.6,-4.0,-3.5524,900.0,103.78055555555555,93402.5,97740.0,4337.5,0.046438799817992024,4818.020833333332,9155.520833333332,4.0,5.0,9.0
28,20210224,'600745,闻泰科技,107.58,112.58,106.1,107.72,108.6,-1.02,-0.9392,900.0,103.78055555555555,93402.5,96822.0,3419.5,0.03661036910146945,4818.020833333332,8237.520833333332,4.0,5.0,9.0
29,20210225,'600745,闻泰科技,103.24,109.02,103.0,107.59,107.58,-4.34,-4.0342,900.0,103.78055555555555,93402.5,92916.0,-486.5,-0.005208640025695243,4818.020833333332,4331.520833333332,4.0,5.0,9.0
